"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2025","111,780.0","112,740.0","112,780.0","111,530.0","0.31K","-0.85%"
"08/28/2025","112,740.0","111,470.0","113,630.0","111,130.0","0.25K","1.14%"
"08/27/2025","111,470.0","112,000.0","112,830.0","110,600.0","0.40K","-0.47%"
"08/26/2025","112,000.0","110,360.0","112,570.0","108,960.0","0.54K","1.48%"
"08/25/2025","110,370.0","113,700.0","113,880.0","109,550.0","0.92K","-2.93%"
"08/24/2025","113,700.0","115,570.0","115,810.0","111,420.0","0.47K","-1.62%"
"08/23/2025","115,570.0","117,000.0","117,150.0","114,790.0","0.16K","-1.22%"
"08/22/2025","117,000.0","112,740.0","117,560.0","111,990.0","0.80K","3.78%"
"08/21/2025","112,740.0","114,500.0","115,000.0","112,310.0","0.79K","-1.54%"
"08/20/2025","114,500.0","113,030.0","114,880.0","112,650.0","0.73K","1.30%"
"08/19/2025","113,030.0","116,390.0","116,920.0","113,000.0","1.60K","-2.89%"
"08/18/2025","116,390.0","117,540.0","117,640.0","114,890.0","0.72K","-0.98%"
"08/17/2025","117,540.0","117,590.0","118,680.0","117,390.0","0.13K","-0.04%"
"08/16/2025","117,590.0","117,520.0","118,060.0","117,390.0","0.09K","0.06%"
"08/15/2025","117,520.0","118,410.0","119,360.0","116,990.0","0.27K","-0.75%"
"08/14/2025","118,410.0","122,880.0","123,640.0","117,200.0","0.40K","-3.64%"
"08/13/2025","122,880.0","120,080.0","123,380.0","118,890.0","0.61K","2.31%"
"08/12/2025","120,110.0","118,850.0","120,280.0","118,290.0","0.22K","1.06%"
"08/11/2025","118,850.0","119,370.0","122,370.0","118,380.0","0.34K","-0.44%"
"08/10/2025","119,370.0","116,550.0","119,410.0","116,530.0","0.21K","2.42%"
"08/09/2025","116,550.0","116,790.0","117,940.0","116,470.0","0.09K","-0.21%"
"08/08/2025","116,790.0","117,580.0","117,890.0","116,040.0","0.76K","-0.67%"
"08/07/2025","117,580.0","115,220.0","117,780.0","114,470.0","0.32K","2.10%"
"08/06/2025","115,160.0","114,200.0","115,870.0","113,470.0","0.50K","0.84%"
"08/05/2025","114,200.0","115,200.0","115,200.0","112,740.0","0.48K","-0.87%"
"08/04/2025","115,200.0","114,370.0","115,800.0","114,270.0","0.38K","0.72%"
"08/03/2025","114,380.0","112,810.0","114,970.0","112,210.0","0.57K","1.39%"
"08/02/2025","112,810.0","113,460.0","114,260.0","112,250.0","0.47K","-0.61%"
"08/01/2025","113,500.0","115,970.0","116,270.0","112,840.0","0.88K","-2.13%"
"07/31/2025","115,970.0","118,050.0","119,100.0","115,730.0","0.46K","-1.76%"
"07/30/2025","118,050.0","118,110.0","118,930.0","116,050.0","0.45K","-0.05%"
